subject,chapter,type,topic,video_link,quiz_link
physics,Magnetic Effects of Electric Current,one_shot,,"https://www.youtube.com/watch?v=OaxLGGgplb8",
mathematics,Arithmetic Progressions,imp_qs,,https://www.youtube.com/watch?v=vPX9DliKtD0,
pol_sci,Political Parties,one_shot,,"https://www.youtube.com/watch?v=rsiDyWSHj1E",
mathematics,Arithmetic Progressions,one_shot,,"https://www.youtube.com/watch?v=BuwlTJQF9Dc",
mathematics,special,special,Ace Term II,"https://www.youtube.com/watch?v=exYJ7_SiuLY",
mathematics,Circles,capsule,Properties of Tangents,"https://www.youtube.com/watch?v=HBrXqGMhHPc",
english,Poems,one_shot,,"https://www.youtube.com/watch?v=z_U1O8VNzyQ",
physics,Magnetic Effects of Electric Current,capsule,Magnetic Field Due to a Conductor,"https://www.youtube.com/watch?v=gUkHw_2F_wI",
economics,Money and Credit,one_shot,,"https://www.youtube.com/watch?v=jH47PXlZjQc", "https://www.youtube.com/watch?v=SG29daVx2Yk"
physics,Magnetic Effects of Electric Current,capsule,Magnetic Effects of Current,"https://www.youtube.com/watch?v=wJWTJqiA0Qg", "https://www.youtube.com/watch?v=7chXwD8qUGQ"
mathematics,Some Applications of Trigonometry,imp_qs,,"https://www.youtube.com/watch?v=niOS5cbSb8Q",
geography,Manufacturing Industries,one_shot,,"https://www.youtube.com/watch?v=u7_Rjm1BxKM", "https://www.youtube.com/watch?v=vVqEj7NXz14"
biology,How do Organisms Reproduce?,capsule,Sexual Reproduction In Flowering Plants II,"https://www.youtube.com/watch?v=CXw5HG4r_9E", "https://www.youtube.com/watch?v=LSckepqH0D0"
chemistry,Periodic Classification of Elements,capsule,Early Attempts at Classification,"https://www.youtube.com/watch?v=dksT6e_5hj4", "https://www.youtube.com/watch?v=06Ka96UKpjY"
mathematics,Some Applications of Trigonometry,one_shot,,"https://www.youtube.com/watch?v=gQPHXKEqnb4", "https://www.youtube.com/watch?v=NTNwgwhmfRc"
english,Writing Skills,quiz,,"https://www.youtube.com/watch?v=pwlaT48XaHw",
english,Writing Skills,capsule,Analytical Paragraph,"https://www.youtube.com/watch?v=upfgDQvyG0o",
physics,Electricity,one_shot,,"https://www.youtube.com/watch?v=1D8tYSrAN_Q",
mathematics,Quadratic Equations + Arithmetic Progressions,special,,"https://www.youtube.com/watch?v=cGlPtRscBIQ",
history,Nationalism in India,one_shot,,"https://www.youtube.com/watch?v=eksXhyfLs80", "https://www.youtube.com/watch?v=styg7PwOeGY"
biology,How do Organisms Reproduce?,capsule,Sexual Reproduction in Flowering Plants I, "https://www.youtube.com/watch?v=XSXL-rKDH4g",
chemistry,Carbon and its Compounds,capsule,Homologous Series,"https://www.youtube.com/watch?v=MtnfUtKwFCU", "https://www.youtube.com/watch?v=MtnfUtKwFCU"
mathematics,Arithmetic Progressions,capsule,Introduction,"https://www.youtube.com/watch?v=LHhx1N5Jjg0", "https://www.youtube.com/watch?v=KJo1XZNXfKU"
english,Writing Skills,capsule,Formal Letter,"https://www.youtube.com/watch?v=_HzjRsuhwZU",
physics,Electricity,capsule,Heating Effect of Current,"https://www.youtube.com/watch?v=ZpQMK7dbDxs", "https://www.youtube.com/watch?v=1E6V1ji2c4E"
biology,How do Organisms Reproduce?,capsule,Asexual Reproduction - II,"https://www.youtube.com/watch?v=rWQPJ6RJWqM", "https://www.youtube.com/watch?v=Xf_F-QYvfvQ"
chemistry,Carbon and its Compounds,capsule,Saturated and Unsaturated Compounds,"https://www.youtube.com/watch?v=k9ao37EJM3I", "https://www.youtube.com/watch?v=smNMyREg-Ds"
mathematics,Quadratic Equations,capsule,Nature of Roots,"https://www.youtube.com/watch?v=X98vHBKfi4I", "https://www.youtube.com/watch?v=TJPUK-3ssNc"
physics,Electricity,capsule,Combination of Resistors,"https://www.youtube.com/watch?v=WNqqXd8cRIM", "https://www.youtube.com/watch?v=S4bqXhM3CJo"
physics,Electricity,capsule,Resistance and Resistivity,"https://www.youtube.com/watch?v=o2ITiJYwtug",
biology,How do Organisms Reproduce?,capsule,Asexual Reproduction - I,"https://www.youtube.com/watch?v=XVia3cUh8ys",
chemistry,Carbon and its Compounds,capsule,Covalent Bonding,"https://www.youtube.com/watch?v=h_qecvC5orU",
